newindex,BaseDateTime,COG,CallSign,Cargo,Draft,Heading,IMO,LAT,LON,Length,MMSI,SOG,Status,VesselName,VesselType,Width,coordinate,datetime,envelope
27,2017-02-06T18:54:27,175.0,,,,511.0,,25.88778,-80.09796999999998,,367554880.0,16.7,,,,,POINT (-80.09796999999998 25.88778),2017-02-06 18:54:27,"POLYGON ((-80.11796999999997 25.86778, -80.07796999999998 25.86778, -80.07796999999998 25.90778, -80.11796999999997 25.90778, -80.11796999999997 25.86778))"
28,2017-02-09T18:13:04,78.6,H9CV,71.0,8.5,74.0,IMO9316098,25.76552,-80.08394,147.87,374855000.0,7.9,under way using engine,HAMBURG TRADER,1004.0,23.55,POINT (-80.08394 25.76552),2017-02-09 18:13:04,"POLYGON ((-80.10393999999999 25.74552, -80.06394 25.74552, -80.06394 25.78552, -80.10393999999999 25.78552, -80.10393999999999 25.74552))"
29,2017-02-12T16:32:00,2.6,WDD6067,0.0,,9.0,,25.85325,-80.07083,23.5,367167850.0,15.2,under way using engine,ENDLESS SUMMER,1019.0,6.4,POINT (-80.07083 25.85325),2017-02-12 16:32:00,"POLYGON ((-80.09083 25.83325, -80.05083 25.83325, -80.05083 25.87325, -80.09083 25.87325, -80.09083 25.83325))"
30,2017-02-12T16:31:06,5.4,,,,4.0,,25.78202000000001,-80.1006,,338066035.0,12.6,,,,,POINT (-80.1006 25.78202000000001),2017-02-12 16:31:06,"POLYGON ((-80.1206 25.76202000000001, -80.0806 25.76202000000001, -80.0806 25.80202000000001, -80.1206 25.80202000000001, -80.1206 25.76202000000001))"
31,2017-02-12T16:31:03,-124.6,,,,511.0,,25.75851,-80.11849000000002,16.22,338204573.0,24.9,,OUR TIME,1019.0,,POINT (-80.11849000000002 25.75851),2017-02-12 16:31:03,"POLYGON ((-80.13849000000002 25.73851, -80.09849000000003 25.73851, -80.09849000000003 25.77851, -80.13849000000002 25.77851, -80.13849000000002 25.73851))"
32,2017-02-12T16:31:09,-117.8,E5U2577,70.0,4.1,1.0,IMO8410328,25.784000000000002,-80.08853,77.67,518630000.0,2.9,under way using engine,BETTY K VIII,1004.0,13.16,POINT (-80.08853000000001 25.784),2017-02-12 16:31:09,"POLYGON ((-80.10853 25.764, -80.06853000000001 25.764, -80.06853000000001 25.804, -80.10853 25.804, -80.10853 25.764))"
33,2017-02-12T16:31:25,3.2,,,,511.0,,25.88071,-80.10219000000002,21.15,338181285.0,12.0,,NEVER BETTER,1019.0,,POINT (-80.10219000000002 25.88071),2017-02-12 16:31:25,"POLYGON ((-80.12219000000002 25.86071, -80.08219000000003 25.86071, -80.08219000000003 25.90071, -80.12219000000002 25.90071, -80.12219000000002 25.86071))"
34,2017-02-12T16:32:49,-177.0,3ESA9,70.0,0.0,101.0,IMO9012513,25.78305,-80.09716999999998,100.0,355983000.0,0.1,at anchor,TANGO III,70.0,15.0,POINT (-80.09716999999998 25.78305),2017-02-12 16:32:49,"POLYGON ((-80.11716999999997 25.76305, -80.07716999999998 25.76305, -80.07716999999998 25.80305, -80.11716999999997 25.80305, -80.11716999999997 25.76305))"
35,2017-02-12T16:32:53,1.9,,,,511.0,,25.88574,-80.10195,21.15,338181285.0,12.2,,NEVER BETTER,1019.0,,POINT (-80.10195 25.88574),2017-02-12 16:32:53,"POLYGON ((-80.12195 25.86574, -80.08195000000001 25.86574, -80.08195000000001 25.90574, -80.12195 25.90574, -80.12195 25.86574))"
36,2017-02-12T16:32:12,25.5,E5U2577,70.0,4.1,84.0,IMO8410328,25.78472,-80.08864,77.67,518630000.0,2.8,under way using engine,BETTY K VIII,1004.0,13.16,POINT (-80.08864 25.78472),2017-02-12 16:32:12,"POLYGON ((-80.10863999999999 25.76472, -80.06864 25.76472, -80.06864 25.80472, -80.10863999999999 25.80472, -80.10863999999999 25.76472))"
37,2017-02-12T16:32:07,-52.8,,,,354.0,,25.78552,-80.10043,,338066035.0,12.4,,,,,POINT (-80.10043 25.78552),2017-02-12 16:32:07,"POLYGON ((-80.12043 25.76552, -80.08043000000001 25.76552, -80.08043000000001 25.80552, -80.12043 25.80552, -80.12043 25.76552))"
38,2017-02-17T14:38:57,-52.7,6YRO7,,,511.0,,26.25241,-80.05611999999998,,339303000.0,7.7,,CRYSTAL BALL,,,POINT (-80.05611999999998 26.25241),2017-02-17 14:38:57,"POLYGON ((-80.07611999999997 26.23241, -80.03611999999998 26.23241, -80.03611999999998 26.27241, -80.07611999999997 26.27241, -80.07611999999997 26.23241))"
39,2017-02-17T14:37:54,-139.5,WDG3808,,,16.0,,26.34343,-80.06063,67.3,367529860.0,0.2,moored,C R MCCASKILL,1005.0,,POINT (-80.06063 26.34343),2017-02-17 14:37:54,"POLYGON ((-80.08063 26.32343, -80.04063000000001 26.32343, -80.04063000000001 26.36343, -80.08063 26.36343, -80.08063 26.32343))"
40,2017-02-17T14:37:32,186.3,ZGFS7,,,511.0,,26.4286,-80.03232,,319112800.0,6.8,,SUNNY,,,POINT (-80.03232 26.4286),2017-02-17 14:37:32,"POLYGON ((-80.05231999999999 26.4086, -80.01232 26.4086, -80.01232 26.4486, -80.05231999999999 26.4486, -80.05231999999999 26.4086))"
41,2017-02-17T14:38:06,190.6,,,,511.0,,26.38093,-80.04567,11.58,338236134.0,5.2,,PURSUIT OF HAPPINESS,,,POINT (-80.04567 26.38093),2017-02-17 14:38:06,"POLYGON ((-80.06567 26.36093, -80.02567000000001 26.36093, -80.02567000000001 26.40093, -80.06567 26.40093, -80.06567 26.36093))"
42,2017-02-17T14:37:29,-54.4,6YRO7,,,511.0,,26.24921,-80.05581,,339303000.0,7.0,,CRYSTAL BALL,,,POINT (-80.05580999999999 26.24921),2017-02-17 14:37:29,"POLYGON ((-80.07580999999999 26.22921, -80.03581 26.22921, -80.03581 26.26921, -80.07580999999999 26.26921, -80.07580999999999 26.22921))"
